Station Name,Street Address,City,State,ZIP,Expected Date,Groups With Access Code,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date
City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,,Public,1,3,,200-9,34.010384,-118.496158,2017-05-04,7230,2018-02-06 21:00:03 UTC,1998-06-30
Sherman Oaks Fashion Square,14006 Riverside Dr,Sherman Oaks,CA,91423,,Public,,2,,200-9,34.157625,-118.435247,2017-05-04,7233,2018-02-06 21:00:03 UTC,1998-05-30
City of Temecula - 6th Street Lot,28462 Front St,Temecula,CA,92590,,Public,,2,,GPS,33.49605,-117.152,2017-05-04,7236,2018-02-06 21:00:03 UTC,2011-12-31
Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608,,Public,1,,,200-8,34.138717,-118.35904,2017-05-04,7242,2018-02-06 21:00:03 UTC,1998-05-30
Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,Van Nuys,CA,91405,,Public,,2,,200-8,34.21108,-118.448704,2018-01-04,7245,2018-02-06 21:00:03 UTC,1998-06-30
Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,,Public,,3,,200-8,33.94756,-118.153806,2017-05-04,7250,2018-02-06 21:00:03 UTC,1998-06-15
San Diego Convention Center - Ace Parking,111 W Harbor Dr,San Diego,CA,92101,,Public,,2,,GPS,32.70597,-117.162,2017-05-04,7264,2018-02-06 21:00:03 UTC,1998-06-15
City of Lancaster - City Hall,44933 Fern Ave,Lancaster,CA,93534,,Public,,3,,200-9,34.6989,-118.14476,2017-08-02,7275,2018-02-06 21:00:03 UTC,1998-06-30
Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,,Public,,1,,GPS,37.80619,-122.4152,2017-05-04,7280,2018-02-06 21:00:03 UTC,1998-07-01
Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,,Public,,4,,200-8,38.599693,-121.427045,2017-05-04,7286,2018-02-06 21:00:03 UTC,1998-06-15
Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,,Public,,,,GPS,37.784912,-122.430237,2017-05-04,21351,2018-02-06 21:00:03 UTC,2002-01-31
Moscone Center,255 3rd St,San Francisco,CA,94103,,Public,,,,200-8,37.784262,-122.399545,2017-05-04,21353,2018-02-06 21:00:03 UTC,2002-01-31
Saint Mary's Square Garage,433 Kearny St, Level 4",San Francisco,CA,E,,,,,,200-8,37.792058,-122.404312,2017-05-04,21354,
Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,,Public,,1,,GPS,37.78881,-122.401,2017-05-04,21358,2018-02-06 21:00:03 UTC,2002-01-31
Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,,Public,,3,,200-8,37.791791,-122.411265,2017-12-05,21360,2018-02-06 21:00:03 UTC,2002-01-31
Civic Center Garage,355 McAllister St,San Francisco,CA,94102,,Public,,,,GPS,37.780369,-122.417824,2017-05-04,21366,2018-02-06 21:00:03 UTC,2002-01-31
Ellis O'Farrell Garage,123 O'Farrell St,San Francisco,CA,94102,,Public,,,,200-9,37.78655,-122.407148,2017-08-02,21367,2018-02-06 21:00:03 UTC,2002-01-31
Hotel Sofitel,8555 Beverly Blvd,Los Angeles,CA,90048,,Public,,2,,GPS,34.07631,-118.377,2017-05-04,21368,2018-02-06 21:00:03 UTC,2002-01-31
Music Center Parking - Level 2,135 N Grand Ave, level 2",Los Angeles,CA,E,,,,,,,200-9,34.0569,-118.247778,2017-05-04,
Balboa Golf Course,16821 Burbank Blvd,Encino,CA,91436,,Public,,1,,200-8,34.169242,-118.497212,2017-05-04,21383,2018-02-06 21:00:03 UTC,1998-06-15
Tops Auto Park Garage,6464 Sunset Blvd,Hollywood,CA,90028,,Private,,2,,GPS,34.097928,-118.331,2018-01-04,21388,2018-02-06 21:00:03 UTC,2012-06-15
California State University Northridge - Lot G9 Structure,18111 Nordhoff St,Northridge,CA,91330,,Public,,2,,GPS,34.248959,-118.523887,2017-05-04,21395,2018-02-06 21:00:03 UTC,2002-01-15
California State University Northridge - Lot B4,18111 Nordhoff St, near Darby Ave",Northridge,CA,E,,,,2,,GPS,34.241687,-118.528543,2017-05-04,21396,
California State University Northridge - Surface Lot B2,18111 Nordhoff St, South of Prairie",Northridge,CA,E,,,,4,,GPS,34.236853,-118.532588,2017-05-04,21397,
Los Angeles Harbor Department Headquarters,425 S Palos Verdes St,San Pedro,CA,90731,,Public,,4,,200-9,33.740758,-118.281357,2017-05-04,21402,2018-02-06 21:00:03 UTC,2013-03-26
City of Los Angeles - Constituent Service Center,8475 S Vermont Ave,Los Angeles,CA,90044,,Public,,2,,200-8,33.961256,-118.29187,2018-01-04,21405,2018-02-06 21:00:03 UTC,2002-01-31
Getty Center,1200 Getty Center Dr,Los Angeles,CA,90049,,Public,,16,,200-9,34.077823,-118.475863,2017-12-05,21419,2018-02-06 21:00:03 UTC,2013-07-01
Los Angeles County - Arboretum,301 N Baldwin Ave,Arcadia,CA,91007,,Public,,3,,200-8,34.142727,-118.051275,2017-05-04,21450,2018-02-06 21:00:03 UTC,2014-06-01
Embassy Suites Hotel (LAX South),1440 Imperial Ave,El Segundo,CA,90245,,Public,,3,,GPS,33.930574,-118.400744,2018-01-04,21497,2018-01-04 21:30:00 UTC,
City of Glendora - City Hall,114 S Vista Bonita Ave,Glendora,CA,91741,,Public,,2,,GPS,34.13556,-117.864,2017-08-02,21498,2018-02-06 21:00:03 UTC,2002-04-30
CALTECH,370 S Holliston Ave,Pasadena,CA,91106,,Public,,1,,GPS,34.1394768,-118.1226044,2018-01-04,21516,2018-01-04 21:28:17 UTC,
DoubleTree Hotel - Los Angeles - Westside,6161 Centinela Ave,Culver City,CA,90230,,Public,,2,,GPS,33.9826,-118.3966,2017-05-04,21524,2018-02-06 21:00:03 UTC,2012-06-18
Helms Bakery Building,8800 Venice Blvd,Los Angeles,CA,90034,,Public,,6,,200-9,34.030734,-118.385663,2017-05-04,21525,2018-02-06 21:00:03 UTC,2017-04-25
Westfield MainPlace Mall,2800 N Main St,Santa Ana,CA,92705,,Public,,1,12,GPS,33.77699,-117.871,2017-12-05,21535,2018-02-06 21:00:03 UTC,2002-05-30
CITY OF SB EV2,1115 Anacapa St
Santa Barbara,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,21557,2018-01-09 06:47:50 UTC,,,,
California State University - Channel Islands,1 University Dr,Camarillo,CA,93012,,Public,,5,,200-8,34.165493,-119.04505,2017-05-04,21559,2018-02-06 21:00:03 UTC,2002-05-30
Camarillo Premium Outlet,740 E Ventura Blvd,Camarillo,CA,93010,,Public,,,,200-9,34.218013,-119.061531,2017-05-04,21560,2018-02-06 21:00:03 UTC,2002-05-30
Brea Downtown Parking,101 S Brea Blvd,Brea,CA,92821,,Public,,4,,200-8,33.919899,-117.898618,2017-05-04,21561,2018-02-06 21:00:03 UTC,2002-05-30
Home Depot,2745 Teller Rd,Newbury Park,CA,91320,,Public,4,2,,200-8,34.189973,-118.934618,2017-05-04,21565,2018-02-06 21:00:03 UTC,2002-05-15
Lake Casitas Municipal Water District - Recreational Area,Casitas Pass Rd & Baldwin Rd,Oak View,CA,93022,,Public - Call ahead,3,1,,GPS,34.418322,-119.3368,2017-05-04,21566,2018-02-06 21:00:03 UTC,2002-05-30
Ojai City Hall,401 S Ventura Blvd,Ojai,CA,93023,,Public,,2,,GPS,34.4447896,-119.2467592,2017-05-04,21567,2018-02-06 21:00:03 UTC,2002-05-30
San Dimas Park & Ride,205 S San Dimas Ave,San Dimas,CA,91773,,Public,,2,,200-9,34.105198,-117.807196,2017-05-04,21569,2018-02-06 21:00:03 UTC,2002-05-30
Loews Santa Monica Beach Hotel,1700 Ocean Ave,Santa Monica,CA,90401,,Public,,6,,GPS,34.00907,-118.4928,2017-12-05,21575,2018-02-06 21:00:03 UTC,2012-09-14
Westfield Mall - West Covina,1200 W Covina Pkwy,West Covina,CA,91790,,Public,,1,,200-9,34.068763,-117.934692,2017-05-04,21586,2018-02-06 21:00:03 UTC,2002-05-30
West Covina Civic Center Parking Structure - Level 3,1444 W Garvey Ave S,West Covina,CA,91790,,Public,,2,,200-9,34.072144,-117.938853,2017-05-04,21587,2018-02-06 21:00:03 UTC,2002-05-30
City of Pasadena - El Molino Lot,100 N El Molino Ave,Pasadena,CA,91101,,Public,,2,,200-8,34.147697,-118.136897,2017-07-06,21594,2018-02-06 21:00:03 UTC,2002-05-30
Southern California Edison - Rosemead Service Center,2131 Walnut Grove Ave,Rosemead,CA,91770,,Private,9,9,,GPS,34.05334473,-118.0841599,2017-06-02,21597,2018-02-06 21:00:03 UTC,2015-01-01
Florida Solar Energy Center,1679 Clearlake Rd,Cocoa,FL,32922,,Public,,1,2,GPS,28.38777746,-80.75634406,2017-06-02,21604,2018-02-06 21:00:03 UTC,2002-06-15
Ventura County Government Center,800 S Victoria Ave,Ventura,CA,93009,,Public,,1,,GPS,34.267352,-119.2124,2017-06-02,21606,2018-02-06 21:00:03 UTC,2012-10-19
Ventura County Air Pollution Control District,669 County Square Dr,Ventura,CA,93003,,Public,,3,,GPS,34.268756,-119.2154,2017-06-02,21607,2018-02-06 21:00:03 UTC,2012-10-18
Pacific View Mall,3295 E Main St,Ventura,CA,93003,,Public,,3,,GPS,34.268,-119.2492,2017-05-04,21608,2018-02-06 21:00:03 UTC,2002-05-30
LADWP - Scattergood Generating Facility,12700 Vista del Mar,Playa del Rey,CA,90293,,Private - Government only,,4,,200-9,33.917069,-118.427974,2018-01-04,21609,2018-02-06 21:00:03 UTC,1999-10-15
Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,14747 E Ramona Blvd,Baldwin Park,CA,91706,,Private - Government only,,,,200-9,34.088151,-117.954309,2017-05-04,21612,2018-02-06 21:00:03 UTC,2015-12-31
Los Angeles Department of Public Works - Hollydale Construction Permit Office,11282 S Garfield Ave,Downey,CA,90242,,Private - Government only,,,,,33.923723,-118.167863,2018-01-04,21615,2018-02-06 21:00:03 UTC,2015-12-31
Los Angeles Department of Public Works - Longden Flood Maintenance Yard,160 E Longden Ave,Irwindale,CA,91706,,Private - Government only,,,,200-9,34.11361,-118.003064,2017-11-02,21616,2018-02-06 21:00:03 UTC,2015-12-31
Los Angeles Department of Public Works - Imperial Maintenance Yard,5525 Imperial Hwy,South Gate,CA,90280,,Private - Government only,,3,,200-8,33.930663,-118.175758,2017-11-02,21618,2018-02-06 21:00:03 UTC,2017-10-20
Janss Marketplace,275 N. Moorpark Rd.
level by security.
Thousand Oaks,CA,,888-998-2546,E,,,,Blink Network,http://www.blinknetwork.com/,2018-01-04,21640,2018-01-04 21:28:35 UTC,,,,
UC Davis Extension,1441 Research Park Dr,Davis,CA,95616,,Public,1,3,,200-9,38.539031,-121.731525,2017-08-02,21673,2018-02-06 21:00:03 UTC,2004-06-01
Kaiser Office Building,1650 Response Rd,Sacramento,CA,95815,,Private,,,,200-9,38.597328,-121.429671,2017-05-04,21675,2018-02-06 21:00:03 UTC,2002-06-30
San Luis Obispo County Air Pollution Control District,3433 Roberto Ct,San Luis Obispo,CA,93401,,Public,1,1,,GPS,35.25939,-120.64492,2017-05-04,21713,2018-02-06 21:00:03 UTC,2002-07-15
Soquel & Front Garage,601 Front St,Santa Cruz,CA,95061,,Public,,5,,200-9,36.973485,-122.02466,2017-05-04,21794,2018-02-06 21:00:03 UTC,1998-06-30
LADWP - Wilmington District Yard,315 N Island Ave,Wilmington,CA,90744,,Private - Government only,,,,200-8,33.773005,-118.265821,2016-10-04,25171,2018-01-09 06:43:10 UTC,1999-10-15
Fair Oaks - Orangevale - Community Library,11601 Fair Oaks Blvd,Fair Oaks,CA,95628,,Public,,2,,GPS,38.66292,-121.2634,2017-11-02,25491,2018-02-06 21:00:03 UTC,2004-06-01
City of Sacramento - City Hall Public Parking Garage,10th St & I St, Levels 2 and 8, Waterfall Building.",Sacramento,916-264-5011,E,,,4,,,GPS,38.58098,-121.493,2017-11-02,
Sutter Galleria Mall - University of California - Davis Extension,2901 K St,Sacramento,CA,95816,,Public,1,2,,200-9,38.57229,-121.468028,2017-05-04,25494,2018-02-06 21:00:03 UTC,2004-05-30
ESQUIRE PLAZA,1215 K St
Sacramento,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,25499,2018-01-09 07:24:04 UTC,,,,
Gateway Oaks Metro Center,2710 Gateway Oaks Dr,Sacramento,CA,95833,,Public,,1,,200-8,38.615465,-121.517262,2017-05-04,25500,2018-02-06 21:00:03 UTC,2004-05-30
Belle Cooledge Library,5600 S Land Park Dr,Sacramento,CA,95822,,Public,,2,,GPS,38.524403,-121.5112,2017-05-04,25502,2018-02-06 21:00:03 UTC,2004-05-30
Mosquito Road Park and Ride,Mosquito Rd & Clay St,Placerville,CA,95667,,Public,,2,,GPS,38.73323,-120.78962,2017-05-04,25507,2018-02-06 21:00:03 UTC,2004-05-30
Vacaville Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,,Public,,1,,GPS,38.356027,-121.9628,2017-05-04,25511,2018-02-06 21:00:03 UTC,2004-06-15
Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,,Public,,3,,GPS,38.36557,-121.967,2017-05-04,25514,2018-02-06 21:00:03 UTC,2004-06-15
Vacaville Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,,Public,,3,,GPS,38.35172,-121.987,2017-05-04,25515,2018-02-06 21:00:03 UTC,2004-06-15
Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,,Public,,1,,200-9,38.357008,-122.00117,2017-05-04,25516,2018-02-06 21:00:03 UTC,2004-06-15
KUIC Parking Lot - Lot 9,500 Catherine St,Vacaville,CA,95688,,Public,,1,,GPS,38.355867,-121.9862,2017-05-04,25517,2018-02-06 21:00:03 UTC,2004-06-15
Vacaville City Hall,650 Merchant St,Vacaville,CA,95688,,Private - Government only,,3,,200-9,38.351003,-121.993743,2017-05-04,25518,2018-02-06 21:00:03 UTC,2004-06-15
Citrus Heights City Hall,6360 Fountain Square Dr,Citrus Heights,CA,95621,,Public,,3,,GPS,38.67995,-121.2989,2017-05-04,25519,2018-02-06 21:00:03 UTC,2016-02-01
Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,,Public,1,,,200-9,38.457146,-121.842288,2017-05-04,25520,2018-02-06 21:00:03 UTC,2004-06-15
El Dorado County Government Center,2850 Fairlane Ct,Placerville,CA,95667,,Public,,2,,GPS,38.72799,-120.828,2017-05-04,25522,2018-02-06 21:00:03 UTC,2004-05-15
El Dorado Transit Park & Ride,4640 Post St,El Dorado Hills,CA,95762,,Public,,2,,GPS,38.6476,-121.067,2017-05-04,25523,2018-02-06 21:00:03 UTC,2012-05-01
Elk Grove Kia,8480 Laguna Grove Dr,Elk Grove,CA,95758,,Private,,1,,GPS,38.40553,-121.391,2017-05-04,25525,2018-02-06 21:00:03 UTC,2012-05-10
CVS Pharmacy,8455 Auburn-Folsom Rd,Granite Bay,CA,95746,,Public,,1,,GPS,38.74453,-121.17,2017-05-04,25527,2018-02-06 21:00:03 UTC,1998-06-15
Carmichael Library,5605 Marconi Ave,Carmichael,CA,95608,,Public,,1,,GPS,38.617933,-121.3339,2017-10-03,25610,2018-02-06 21:00:03 UTC,2004-07-15
Burlington International Airport,1200 Airport Dr,South Burlington,VT,05403,,Public,2,,,GPS,44.469281,-73.154972,2017-08-02,27036,2018-02-06 21:00:03 UTC,2014-04-01
Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,,Public,1,1,,GPS,38.15485,-121.69,2017-10-03,27302,2018-02-06 21:00:03 UTC,2006-08-15
Southern California Edison - North Orange County,1851 W Valencia Dr,Fullerton,CA,92633,,Private,8,6,,200-8,33.866518,-117.960977,2018-01-04,27313,2018-02-06 21:00:03 UTC,2005-07-15
Southern California Edison - San Joaquin Service Center,2425 S Blackstone St,Tulare,CA,93274,,Private,4,4,,GPS,36.184617,-119.3311505,2017-09-06,27318,2018-02-06 21:00:03 UTC,2005-07-15
Southern California Edison - Santa Monica Service Center,1721 22nd St,Santa Monica,CA,90404,,Private,10,6,,200-8,34.02541,-118.472694,2018-01-04,27320,2018-02-06 21:00:03 UTC,2005-07-15
Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,,Public,,2,,200-8,38.25281,-122.044229,2017-07-06,27328,2018-02-06 21:00:03 UTC,2012-08-27
Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,,Public,,3,,GPS,38.23723,-122.123,2017-05-04,27329,2018-02-06 21:00:03 UTC,2005-07-15
Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,,Public,,,,200-8,38.105062,-122.265895,2017-05-04,27335,2018-02-06 21:00:03 UTC,2005-07-15
Sacramento International Airport - Terminal A Garage - Daily,Lindbergh Dr, 3, 4, 5,95837,,,,,,5 SP Inductive,,,GPS,38.69033,2018-02-06 21:00:03 UTC
Sacramento International Airport - Terminal A Garage - Hourly,Lindbergh Dr,Sacramento,CA,95837,,Public,,2,,GPS,38.69033,-121.5871,2017-05-04,28006,2018-02-06 21:00:03 UTC,2005-09-30
Los Angeles International Airport (LAX) - Lot 1 ,1 World Way,Los Angeles,CA,90045,,Public,,20,2,GPS,33.944761,-118.399767,2017-05-04,28007,2018-02-06 21:00:03 UTC,2011-02-15
CALTECH,405 S Wilson Ave
Pasadena,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,28008,2018-01-09 05:29:21 UTC,,,,
SAN JOSE,44 S 4th St
4TH & SF 4
4TH & SF 5
San Jose,CA,,888-758-4389,E,,,,ChargePoint Network,http://www.chargepoint.com/,2018-01-04,28844,2018-01-09 05:30:04 UTC,,,,
The Famous Pearson Fuel Depot,4067 El Cajon Blvd.,San Diego,CA,92105,,Public,,5,,GPS,32.754954,-117.107457,2018-01-04,29684,2018-01-04 21:28:55 UTC,
Vacaville Police Headquarters,660 Merchant St,Vacaville,CA,95688,,Private - Government only,,,,200-8,38.35109,-121.993654,2017-05-04,29862,2018-02-06 21:00:03 UTC,2006-08-15
Mult Co - Hillsdale Public Library,1525 SW Sunset Blvd
Thu 12PM-8PM - Fri & Sat 10AM-6PM - Sun 
10AM-5PM
Portland,OR,,888-998-2546,E, 10:00am-6:00pm | SUN: 10:00am-5:00pm, 10:00am-6:00pm",2,,,45.479667,-122.693655,2018-01-04,29881,2018-01-04 21:50:46 UTC,,
Southern California Edison - Sacramento Office,1201 K St,Sacramento,CA,95831,,Private,,1,,200-9,38.578432,-121.491008,2017-05-04,32850,2018-02-06 21:00:03 UTC,2008-01-15
Burlington International Airport,1200 Airport Dr,South Burlington,VT,05403,,Private,,1,,GPS,44.469281,-73.154972,2017-08-02,32973,2018-02-06 21:00:03 UTC,2004-01-15
LADWP - Boylston,1141 W 2nd St,Los Angeles,CA,90026,,Private - Government only,,3,,200-8,34.059047,-118.256812,2016-10-04,33177,2018-01-09 06:20:32 UTC,1999-10-15
